Tag1,Tag2,OERatio,Count1,Count2,Count12,CountAll
"terran","zerg","45.1302891933029","73","90","14","21179"
"borderlands","dlc","25.816600177305","94","96","11","21179"
"starcraft-2","terran","20.7230919765166","1022","73","73","21179"
"starcraft-2","zerg","20.0323222439661","1022","90","87","21179"
"backwards-compatibility","windows-7","19.0287511230907","84","106","8","21179"
"minecraft","minecraft-redstone","16.4688958009331","1286","91","91","21179"
"minecraft","minecraft-smp","15.9983559209065","1286","105","102","21179"
"technical-issues","windows-7","15.9841509433962","300","106","24","21179"
"dlc","mass-effect-2","15.0419034090909","96","88","6","21179"
"dlc","fallout-3","13.9629483122363","96","79","5","21179"
"hosting","minecraft-smp","13.0132104454685","93","105","6","21179"
"quests","the-witcher-2","12.9219035997559","149","154","14","21179"
"xbox-360","xbox-live","12.4765832106038","582","70","24","21179"
"diablo-3","diablo-3-monk","12.1300114547537","1746","72","72","21179"
"fallout-3","fallout-new-vegas","11.2288422029293","79","191","8","21179"
"controllers","os-x","11.1575191570881","145","144","11","21179"
"civilization-4","mods","11.0976120967138","73","183","7","21179"
"dlc","fallout-new-vegas","10.3954515706806","96","191","9","21179"
"controllers","wii","10.0732461355529","145","174","12","21179"
"batman-arkham-city","dlc","9.80509259259259","90","96","4","21179"
"controllers","ps3","9.4799900530504","145","416","27","21179"
"dlc","xbox-live","9.45491071428571","96","70","3","21179"
"minecraft-smp","mods","8.81769450949779","105","183","8","21179"
"controllers","xbox-360","8.53283564403365","145","582","34","21179"
"assassins-creed-revel","multiplayer","8.40436507936508","105","384","16","21179"
"fallout-new-vegas","quests","8.18612741136372","191","149","11","21179"
"hosting","minecraft","8.14590544992391","93","1286","46","21179"
"os-x","steam","7.33786755844782","144","461","23","21179"
"eve-online","terminology","7.24068376068376","75","117","3","21179"
"hosting","multiplayer","7.11659946236559","93","384","12","21179"
"ps3","save-games","7.06065763615946","416","137","19","21179"
"mass-effect-2","save-games","7.02687458526875","88","137","4","21179"
"controllers","windows-7","6.88972023422251","145","106","5","21179"
"call-of-duty-black-ops","wii","6.85737412983649","142","174","8","21179"
"call-of-duty-black-ops","modern-warfare-2","6.77944942381562","142","88","4","21179"
"minecraft-redstone","minecraft-smp","6.64960753532182","91","105","3","21179"
"ds","wii","6.32303328855053","77","174","4","21179"
"modern-warfare-3","xbox-live","5.93249299719888","204","70","4","21179"
"modern-warfare-2","modern-warfare-3","5.89878565062389","88","204","5","21179"
"mass-effect-3","multiplayer","5.87101245308768","977","384","104","21179"
"modern-warfare-2","ps3","5.78534746503497","88","416","10","21179"
"dlc","portal-2","5.76770152505447","96","153","4","21179"
"quests","skyrim","5.59788692400284","149","1879","74","21179"
"minecraft","mods","5.57962589976969","1286","183","62","21179"
"controllers","pc","5.45361621137483","145","616","23","21179"
"dlc","xbox-360","5.30688001145475","96","582","14","21179"
"diablo-2","os-x","5.02825261158594","117","144","4","21179"
"modern-warfare-2","multiplayer","5.0139678030303","88","384","8","21179"
"hosting","mods","4.97773077149069","93","183","4","21179"
"mass-effect-2","mass-effect-3","4.9267237368568","88","977","20","21179"
"portal-2","steam","4.80433272368962","153","461","16","21179"
"call-of-duty-black-ops","multiplayer","4.66087147887324","142","384","12","21179"
"pc","technical-issues","4.58419913419913","616","300","40","21179"
"hosting","team-fortress-2","4.55462365591398","93","250","5","21179"
"fallout-3","mods","4.39489520647437","79","183","3","21179"
"battlefield-3","pc","4.38065361279647","259","616","33","21179"
"save-games","steam","4.35940592491727","137","461","13","21179"
"dlc","final-fantasy-13-2","4.32577614379085","96","102","2","21179"
"os-x","save-games","4.29420113544201","144","137","4","21179"
"borderlands","windows-7","4.25110397430751","94","106","2","21179"
"dlc","ps3","4.24258814102564","96","416","8","21179"
"assassins-creed-revel","dlc","4.20218253968254","105","96","2","21179"
"achievements","portal-2","4.10350306130357","506","153","15","21179"
"steam","team-fortress-2","4.04284598698482","461","250","22","21179"
"portal-2","save-games","4.04160106865131","153","137","4","21179"
"civilization-4","os-x","4.0294901065449","73","144","2","21179"
"ds","save-games","4.01535690586786","77","137","2","21179"
"save-games","xbox-360","3.98431033185341","137","582","15","21179"
"achievements","deus-ex-human-revolution","3.95932592671723","506","148","14","21179"
"diablo-2","mods","3.95665779272337","117","183","4","21179"
"steam","windows-7","3.90068759464658","461","106","9","21179"
"os-x","portal-2","3.84513435003631","144","153","4","21179"
"dlc","dungeon-defenders","3.77118945868946","96","117","2","21179"
"ps3","technical-issues","3.73347756410256","416","300","22","21179"
"team-fortress-2","terminology","3.62034188034188","250","117","5","21179"
"call-of-duty-black-ops","xbox-360","3.58774986689899","142","582","14","21179"
"os-x","team-fortress-2","3.52983333333333","144","250","6","21179"
"backwards-compatibility","controllers","3.47766830870279","84","145","2","21179"
"mass-effect-2","xbox-live","3.43814935064935","88","70","1","21179"
"diablo-2","windows-7","3.41541686824706","117","106","2","21179"
"backwards-compatibility","technical-issues","3.36174603174603","84","300","4","21179"
"modern-warfare-2","os-x","3.3426452020202","88","144","2","21179"
"backwards-compatibility","ds","3.27442795299938","84","77","1","21179"
"technical-issues","wii","3.24582375478927","300","174","8","21179"
"call-of-duty-black-ops","ps3","3.22675717768147","142","416","9","21179"
"achievements","steam","3.17776701276654","506","461","35","21179"
"call-of-duty-black-ops","controllers","3.08581835842642","142","145","3","21179"
"achievements","dlc","3.05198040184453","506","96","7","21179"
"deus-ex-human-revolution","dlc","2.98127815315315","148","96","2","21179"
"os-x","technical-issues","2.94152777777778","144","300","6","21179"
"save-games","windows-7","2.91681586558325","137","106","2","21179"
"mass-effect-2","ps3","2.89267373251748","88","416","5","21179"
"assassins-creed-revel","xbox-live","2.88149659863946","105","70","1","21179"
"deus-ex-human-revolution","quests","2.88123526210775","148","149","3","21179"
"dlc","the-witcher-2","2.86512445887446","96","154","2","21179"
"starcraft-2","terminology","2.83392710789971","1022","117","16","21179"
"achievements","saints-row-the-third","2.79038208168643","506","75","5","21179"
"achievements","assassins-creed-revel","2.79038208168643","506","105","7","21179"
"league-of-legends","terminology","2.77775591842088","782","117","12","21179"
"fallout-3","xbox-360","2.76380007829832","79","582","6","21179"
"battlefield-3","ps3","2.75194906444906","259","416","14","21179"
"civilization-4","windows-7","2.73701214784182","73","106","1","21179"
"hosting","terraria","2.72731955443951","93","167","2","21179"
