Tag1,Tag2,OERatio,Count1,Count2,Count12,CountAll
"finite-groups","group-theory","20.506509332575","429","2041","311","57734"
"finite-groups","representation-theory","14.0429309820614","429","460","48","57734"
"convergence","sequences-and-series","13.1844090834353","431","2032","200","57734"
"number-theory","prime-numbers","12.8533370167541","2065","596","274","57734"
"commutative-algebra","ring-theory","11.5347774662295","1063","824","175","57734"
"probability-theory","stochastic-processes","11.3515248514723","1164","686","157","57734"
"abstract-algebra","field-theory","9.98512625389139","2891","540","270","57734"
"algorithms","computer-science","9.82110393692634","996","543","92","57734"
"elementary-number-theory","prime-numbers","9.75710777161755","1380","596","139","57734"
"logic","set-theory","9.61657526049217","962","674","108","57734"
"integral","integration","9.45476646292238","1334","650","142","57734"
"general-topology","metric-spaces","9.45098376654039","2045","466","156","57734"
"probability-distributions","statistics","9.34189100276683","714","1307","151","57734"
"probability-distributions","probability-theory","9.10021706277013","714","1164","131","57734"
"abstract-algebra","ring-theory","8.67639611381824","2891","824","358","57734"
"linear-algebra","matrices","8.46057045841285","3742","1654","907","57734"
"probability","probability-distributions","8.45153630544876","3119","714","326","57734"
"algebraic-number-theory","number-theory","8.34079758678278","419","2065","125","57734"
"integral","special-functions","7.97242168389489","1334","418","77","57734"
"linear-algebra","vector-spaces","7.94708366353969","3742","464","239","57734"
"convergence","limit","7.29527117673469","431","863","47","57734"
"measure-theory","probability-theory","7.11298078833788","1297","1164","186","57734"
"algebraic-number-theory","field-theory","6.88949880668258","419","540","27","57734"
"algebraic-geometry","commutative-algebra","6.74567539543868","1409","1063","175","57734"
"calculus","integral","6.45476821532145","4204","1334","627","57734"
"combinatorics","discrete-mathematics","5.9948423171758","2381","542","134","57734"
"probability","statistics","5.97658549556694","3119","1307","422","57734"
"differential-equations","pde","5.9067563845276","1182","430","52","57734"
"calculus","limit","5.87197923293271","4204","863","369","57734"
"differential-equations","numerical-methods","5.77637313323034","1182","575","68","57734"
"probability","probability-theory","5.62945763081612","3119","1164","354","57734"
"numerical-methods","pde","5.60410920121335","575","430","24","57734"
"integration","special-functions","5.52478468899522","650","418","26","57734"
"abstract-algebra","group-theory","5.27386874164376","2891","2041","539","57734"
"algorithms","graph-theory","5.2322128269671","996","986","89","57734"
"complex-numbers","trigonometry","4.92502863828024","461","1068","42","57734"
"limit","sequences-and-series","4.87257871734747","863","2032","148","57734"
"calculus","integration","4.71151357681329","4204","650","223","57734"
"convergence","real-analysis","4.6834259077281","431","3518","123","57734"
"numerical-methods","optimization","4.67009100101112","575","602","28","57734"
"probability","stochastic-processes","4.66807968091739","3119","686","173","57734"
"notation","terminology","4.51347166461557","679","584","31","57734"
"group-theory","representation-theory","4.48904202969559","2041","460","73","57734"
"probability-distributions","stochastic-processes","4.47912226114936","714","686","38","57734"
"discrete-mathematics","graph-theory","4.42934290397671","542","986","41","57734"
"abstract-algebra","finite-groups","4.42231698890295","2891","429","95","57734"
"algebraic-number-theory","commutative-algebra","4.40720525733222","419","1063","34","57734"
"measure-theory","real-analysis","4.31469613482462","1297","3518","341","57734"
"reference-request","soft-question","4.26957275764466","1472","937","102","57734"
"analysis","real-analysis","4.22108279591948","1699","3518","437","57734"
"matrices","vector-spaces","4.21275486803152","1654","464","56","57734"
"field-theory","polynomials","4.19508802524498","540","892","35","57734"
"algebraic-topology","general-topology","4.19207070967395","1091","2045","162","57734"
"elementary-set-theory","notation","4.07603482726746","897","679","43","57734"
"multivariable-calculus","optimization","4.0657409632066","802","602","34","57734"
"abstract-algebra","commutative-algebra","4.03913855989962","2891","1063","215","57734"
"field-theory","ring-theory","4.02228065444085","540","824","31","57734"
"complex-analysis","complex-numbers","4.00232675095572","1721","461","55","57734"
"algebra-precalculus","polynomials","3.97347700315084","2085","892","128","57734"
"algebraic-geometry","algebraic-number-theory","3.9117097553911","1409","419","40","57734"
"algebra-precalculus","inequality","3.83402324294411","2085","780","108","57734"
"algebra-precalculus","arithmetic","3.77889349696713","2085","425","58","57734"
"combinatorics","graph-theory","3.76258888615331","2381","986","153","57734"
"algorithms","optimization","3.75526357923388","996","602","39","57734"
"fourier-analysis","pde","3.74345119737183","538","430","15","57734"
"algorithms","discrete-mathematics","3.74318306436076","996","542","35","57734"
"algorithms","numerical-methods","3.72997730050637","996","575","37","57734"
"integration","numerical-methods","3.70733377926421","650","575","24","57734"
"category-theory","set-theory","3.66632797977116","514","674","22","57734"
"inequality","special-functions","3.5415286467918","780","418","20","57734"
"integral","multivariable-calculus","3.50763832547567","1334","802","65","57734"
"geometry","trigonometry","3.45693125010046","2330","1068","149","57734"
"functional-analysis","pde","3.45535225718194","1360","430","35","57734"
"integration","multivariable-calculus","3.43325148666795","650","802","31","57734"
"soft-question","terminology","3.37620795017617","937","584","32","57734"
"functional-analysis","measure-theory","3.37124245997551","1360","1297","103","57734"
"limit","real-analysis","3.3658773254845","863","3518","177","57734"
"numerical-methods","special-functions","3.36291241938839","575","418","14","57734"
"convergence","probability-theory","3.33733186627439","431","1164","29","57734"
"computer-science","logic","3.31572116102503","543","962","30","57734"
"category-theory","terminology","3.2696751239273","514","584","17","57734"
"functions","terminology","3.24462240955392","975","584","32","57734"
"fourier-analysis","functional-analysis","3.23514924557183","538","1360","41","57734"
"elementary-set-theory","functions","3.23467512791927","897","975","49","57734"
"algorithms","prime-numbers","3.20951928519447","996","596","33","57734"
"abstract-algebra","polynomials","3.15673273945894","2891","892","141","57734"
"probability-theory","statistics","3.1497868995128","1164","1307","83","57734"
"metric-spaces","real-analysis","3.06386163617155","466","3518","87","57734"
"complex-numbers","inequality","3.05063129206296","461","780","19","57734"
"complex-numbers","polynomials","2.94839158390319","461","892","21","57734"
"elementary-number-theory","number-theory","2.91739340983261","1380","2065","144","57734"
"real-analysis","sequences-and-series","2.91554206040476","3518","2032","361","57734"
"algebra-precalculus","complex-numbers","2.8831411226767","2085","461","48","57734"
"sequences-and-series","special-functions","2.85483460799458","2032","418","42","57734"
"differential-geometry","multivariable-calculus","2.81362133275011","1049","802","41","57734"
"computer-science","discrete-mathematics","2.74637961849232","543","542","14","57734"
"integration","measure-theory","2.73929185694799","650","1297","40","57734"
"discrete-mathematics","elementary-set-theory","2.73128962058851","542","897","23","57734"
"inequality","optimization","2.70497487009115","780","602","22","57734"
"algebra-precalculus","trigonometry","2.69642084085541","2085","1068","104","57734"
"computer-science","graph-theory","2.69584496019783","543","986","25","57734"
"convergence","measure-theory","2.68526869967639","431","1297","26","57734"
"complex-analysis","special-functions","2.64842961558457","1721","418","33","57734"
"analysis","metric-spaces","2.62515440791983","1699","466","36","57734"
"functions","notation","2.61624561006004","975","679","30","57734"
"analysis","fourier-analysis","2.589642715702","1699","538","41","57734"
"convergence","metric-spaces","2.58708662358225","431","466","9","57734"
"calculus","multivariable-calculus","2.58566061060479","4204","802","151","57734"
"arithmetic","terminology","2.55871877518131","425","584","11","57734"
"reference-request","representation-theory","2.55792178638941","1472","460","30","57734"
"functional-analysis","metric-spaces","2.5507321383489","1360","466","28","57734"
"functions","special-functions","2.5499006256901","975","418","18","57734"
