Tag1,Tag2,OERatio,Count1,Count2,Count12,CountAll
"flash","off-camera-flash","17.0551351351351","222","50","34","5568"
"exposure","metering","16.5796526054591","155","52","24","5568"
"business","legal","14.9588059701493","50","67","9","5568"
"iso","shutter-speed","13.3205741626794","66","57","9","5568"
"aperture","shutter-speed","12.7740890688259","130","57","17","5568"
"telephoto","zoom","12.4470938897168","61","88","12","5568"
"prime","zoom","12.1678321678322","52","88","10","5568"
"jpeg","raw","12.1319775887114","61","158","21","5568"
"aperture","depth-of-field","10.7076923076923","130","80","20","5568"
"aperture","optics","10.1128205128205","130","72","17","5568"
"color","color-management","10.0310421286031","88","82","13","5568"
"autofocus","focus","9.80414465664364","138","107","26","5568"
"depth-of-field","focus","9.75700934579439","80","107","15","5568"
"equipment-protection","travel","9.70759651307596","73","55","7","5568"
"focal-length","prime","9.6094674556213","78","52","7","5568"
"sharpness","shutter-speed","9.0448343079922","54","57","5","5568"
"focal-length","zoom","8.92307692307692","78","88","11","5568"
"exposure","shutter-speed","8.82308998302207","155","57","14","5568"
"prime","telephoto","8.77679697351829","52","61","5","5568"
"image-quality","sharpness","8.68304093567251","95","54","8","5568"
"apple-aperture","workflow","8.03076923076923","64","65","6","5568"
"focal-length","optics","7.93162393162393","78","72","8","5568"
"color-management","printing","7.62948753083036","82","89","10","5568"
"low-light","prime","7.25945241199478","59","52","4","5568"
"lightroom","workflow","6.83852617970265","238","65","19","5568"
"landscape","sharpness","6.76138433515483","61","54","4","5568"
"off-camera-flash","pentax","6.42461538461538","50","52","3","5568"
"lighting","portrait","6.31683168316832","202","144","33","5568"
"apple-aperture","metadata","6.15929203539823","64","113","8","5568"
"color-management","white-balance","6.08081543502002","82","67","6","5568"
"digital-photography","sensor","5.90399074609601","114","91","11","5568"
"lens","prime","5.82731554160126","735","52","40","5568"
"photo-editing","photoshop","5.81594282572842","107","170","19","5568"
"focus","sharpness","5.78193146417445","107","54","6","5568"
"image-quality","jpeg","5.76496980155306","95","61","6","5568"
"business","web","5.76","50","58","3","5568"
"legal","web","5.73134328358209","67","58","4","5568"
"iso","low-light","5.71956856702619","66","59","4","5568"
"camera-basics","exposure","5.65074302283436","89","155","14","5568"
"camera-basics","focal-length","5.61452031114952","89","78","7","5568"
"lightroom","metadata","5.58994571279839","238","113","27","5568"
"apple-aperture","software","5.5729537366548","64","281","18","5568"
"focal-length","terminology","5.49112426035503","78","130","10","5568"
"exposure","iso","5.44281524926686","155","66","10","5568"
"focal-length","focus","5.3371675053918","78","107","8","5568"
"optics","zoom","5.27272727272727","72","88","6","5568"
"aperture","iso","5.19160839160839","130","66","8","5568"
"lightroom","software","5.07862077215228","238","281","61","5568"
"sharpness","telephoto","5.07103825136612","54","61","3","5568"
"travel","tripod","5.06181818181818","55","80","4","5568"
"film","metering","5.05079825834543","106","52","5","5568"
"digital-photography","photo-editing","5.02115100836203","114","107","11","5568"
"low-light","shutter-speed","4.96699375557538","59","57","3","5568"
"landscape","technique","4.91921075881025","61","167","9","5568"
"body","camera-basics","4.90680766688698","51","89","4","5568"
"apple-aperture","photo-editing","4.8785046728972","64","107","6","5568"
"nikon-d90","troubleshooting","4.7623663578047","61","115","6","5568"
"color","white-balance","4.72184531886024","88","67","5","5568"
"jpeg","web","4.72131147540984","61","58","3","5568"
"sharpness","zoom","4.68686868686869","54","88","4","5568"
"point-and-shoot","sharpness","4.68686868686869","88","54","4","5568"
"color-management","web","4.68292682926829","82","58","4","5568"
"focal-length","telephoto","4.68095838587642","78","61","4","5568"
"autofocus","nikon-d90","4.63007840342124","138","61","7","5568"
"equipment-protection","filters","4.62266500622665","73","132","8","5568"
"composition","landscape","4.56393442622951","80","61","4","5568"
"autofocus","troubleshooting","4.56105860113422","138","115","13","5568"
"lens","zoom","4.47643784786642","735","88","52","5568"
"point-and-shoot","shutter-speed","4.44019138755981","88","57","4","5568"
"body","dslr","4.42607313195548","51","222","9","5568"
"lighting","off-camera-flash","4.41029702970297","202","50","8","5568"
"camera-basics","shutter-speed","4.39030159668835","89","57","4","5568"
"metadata","software","4.3838377476144","113","281","25","5568"
"flash","lighting","4.34573187048435","222","202","35","5568"
"focus","optics","4.33644859813084","107","72","6","5568"
"photo-editing","software","4.25928759104666","107","281","23","5568"
"jpeg","workflow","4.21286254728878","61","65","3","5568"
"raw","white-balance","4.20782165123748","158","67","8","5568"
"optics","terminology","4.16410256410256","72","130","7","5568"
"iso","nikon-d90","4.14903129657228","66","61","3","5568"
"exposure","landscape","4.12226335272343","155","61","7","5568"
"body","film","4.11986681465039","51","106","4","5568"
"photoshop","post-processing","4.11184110007639","170","231","29","5568"
"lens","telephoto","4.09822683171629","735","61","33","5568"
"image-quality","web","4.04210526315789","95","58","4","5568"
"jpeg","metadata","4.03888002321195","61","113","5","5568"
"aperture","sharpness","3.96581196581197","130","54","5","5568"
"apple-aperture","white-balance","3.8955223880597","64","67","3","5568"
"aperture","zoom","3.89370629370629","130","88","8","5568"
"focal-length","lens","3.88487702773417","78","735","40","5568"
"memory-card","troubleshooting","3.87339130434783","50","115","4","5568"
"exposure","technique","3.87189491983774","155","167","18","5568"
"aperture","focal-length","3.84378698224852","130","78","7","5568"
"color-management","photo-editing","3.80761340323684","82","107","6","5568"
"iso","sensor","3.70829170829171","66","91","4","5568"
"software","workflow","3.65814399124008","281","65","12","5568"
"apple-aperture","lightroom","3.65546218487395","64","238","10","5568"
"camera-basics","metering","3.60933448573898","89","52","3","5568"
"body","sensor","3.59922430510666","51","91","3","5568"
"digital-photography","image-quality","3.598891966759","114","95","7","5568"
"lens","optics","3.57732426303855","735","72","34","5568"
"depth-of-field","focal-length","3.56923076923077","80","78","4","5568"
"image-quality","iso","3.55215311004785","95","66","4","5568"
"nikon-d90","prime","3.51071878940731","61","52","2","5568"
"nikon","nikon-d90","3.49153453372749","366","61","14","5568"
"landscape","tripod","3.42295081967213","61","80","3","5568"
"dslr","point-and-shoot","3.42014742014742","222","88","12","5568"
"autofocus","low-light","3.41930729550479","138","59","5","5568"
"canon","canon-550d","3.39201949436491","469","84","24","5568"
"low-light","technique","3.39064244392571","59","167","6","5568"
"apple-aperture","post-processing","3.38961038961039","64","231","9","5568"
"depth-of-field","macro","3.38333333333333","80","144","7","5568"
"color","digital-photography","3.33014354066986","88","114","6","5568"
"landscape","travel","3.31922503725782","61","55","2","5568"
"aperture","exposure","3.31593052109181","130","155","12","5568"
"apple-aperture","raw","3.30379746835443","64","158","6","5568"
"aperture","prime","3.29467455621302","130","52","4","5568"
"pentax","video","3.29467455621302","52","65","2","5568"
"lighting","white-balance","3.29126644007684","202","67","8","5568"
"color","post-processing","3.28689492325856","88","231","12","5568"
"raw","workflow","3.25296981499513","158","65","6","5568"
"focus","macro","3.25233644859813","107","144","9","5568"
"iso","terminology","3.24475524475524","66","130","5","5568"
"low-light","point-and-shoot","3.21725731895223","59","88","3","5568"
"metering","technique","3.20589590050668","52","167","5","5568"
"nikon-d90","shutter-speed","3.20276100086281","61","57","2","5568"
"hdr","software","3.19595913213179","62","281","10","5568"
"photo-editing","post-processing","3.15378079864061","107","231","14","5568"
"photoshop","raw","3.10945644080417","170","158","15","5568"
"autofocus","pentax","3.10367892976589","138","52","4","5568"
"camera-basics","dslr","3.09990889766171","89","222","11","5568"
"business","portrait","3.09333333333333","50","144","4","5568"
"jpeg","lightroom","3.06819121091059","61","238","8","5568"
"exposure","terminology","3.03960297766749","155","130","11","5568"
"metadata","workflow","3.03226684819605","113","65","4","5568"
"autofocus","depth-of-field","3.02608695652174","138","80","6","5568"
"photoshop","workflow","3.02334841628959","170","65","6","5568"
"legal","travel","3.02198100407056","67","55","2","5568"
"portrait","technique","3.00998003992016","144","167","13","5568"
"equipment-recommendation","tripod","3.00518134715026","579","80","25","5568"
"optics","prime","2.97435897435897","72","52","2","5568"
"macro","prime","2.97435897435897","144","52","4","5568"
"equipment-recommendation","travel","2.97239755063589","579","55","17","5568"
"post-processing","workflow","2.96663336663337","231","65","8","5568"
"aperture","terminology","2.96520710059172","130","130","9","5568"
"focus","zoom","2.95666949872557","107","88","5","5568"
"shutter-speed","technique","2.92467696186574","57","167","5","5568"
"aperture","point-and-shoot","2.92027972027972","130","88","6","5568"
"depth-of-field","optics","2.9","80","72","3","5568"
"flash","pentax","2.89397089397089","222","52","6","5568"
"canon","troubleshooting","2.89059052563271","469","115","28","5568"
"camera-basics","terminology","2.88746758859118","89","130","6","5568"
"aperture","camera-basics","2.88746758859118","130","89","6","5568"
"canon-550d","troubleshooting","2.88198757763975","84","115","5","5568"
"point-and-shoot","zoom","2.87603305785124","88","88","4","5568"
"exposure","off-camera-flash","2.8738064516129","155","50","4","5568"
"apple-aperture","jpeg","2.85245901639344","64","61","2","5568"
"equipment-recommendation","telephoto","2.83767943599762","579","61","18","5568"
"low-light","white-balance","2.81710093599798","59","67","2","5568"
"nikon-d90","video","2.80857503152585","61","65","2","5568"
"nikon","troubleshooting","2.77804704205274","366","115","21","5568"
"hdr","workflow","2.76327543424318","62","65","2","5568"
"raw","software","2.75904320014415","158","281","22","5568"
"lightroom","photoshop","2.75234799802274","238","170","20","5568"
"post-processing","raw","2.7460134801907","231","158","18","5568"
"nikon","off-camera-flash","2.7383606557377","366","50","9","5568"
"jpeg","white-balance","2.72473697088329","61","67","2","5568"
"dslr","video","2.7010395010395","222","65","7","5568"
"jpeg","photoshop","2.68466730954677","61","170","5","5568"
"lighting","metering","2.65041888804265","202","52","5","5568"
