Tag1,Tag2,OERatio,Count1,Count2,Count12,CountAll
"acceleration","kinematics","19.8269079464988","82","124","21","9600"
"condensed-matter","solid-state-physics","16.3177670424047","138","81","19","9600"
"heat","temperature","16.1616161616162","144","99","24","9600"
"books","reference-request","14.9818767619815","104","191","31","9600"
"entropy","thermodynamics","13.4405719392315","90","373","47","9600"
"education","soft-question","13.0909090909091","120","275","45","9600"
"heat","thermodynamics","12.5111706881144","144","373","70","9600"
"entropy","statistical-mechanics","12.3076923076923","90","182","21","9600"
"books","education","12.3076923076923","104","120","16","9600"
"mathematical-physics","mathematics","11.8545127974854","262","102","33","9600"
"particle-physics","standard-model","11.8255728011826","369","88","40","9600"
"friction","newtonian-mechanics","11.2713263621354","79","345","32","9600"
"temperature","thermodynamics","11.1788122511983","99","373","43","9600"
"energy","energy-conservation","11.0239234449761","285","110","36","9600"
"books","soft-question","10.7412587412587","104","275","32","9600"
"angular-momentum","rotational-dynamics","10.6477373558119","98","92","10","9600"
"cosmology","universe","9.84090536329342","268","91","25","9600"
"forces","newtonian-mechanics","9.68760064412238","270","345","94","9600"
"special-relativity","speed-of-light","9.65978624459493","309","119","37","9600"
"spacetime","time","9.54084675014908","117","86","10","9600"
"astronomy","planets","8.61423220973783","288","89","23","9600"
"newtonian-mechanics","rotational-dynamics","8.16635160680529","345","92","27","9600"
"string-theory","supersymmetry","8.16326530612245","315","112","30","9600"
"photons","quantum-electrodynamics","8.0672268907563","112","85","8","9600"
"sound","waves","7.9641612742658","82","147","10","9600"
"pressure","water","7.9587324981577","92","118","9","9600"
"momentum","newtonian-mechanics","7.95031055900621","84","345","24","9600"
"heat","water","7.90960451977401","144","118","14","9600"
"space","time","7.8796169630643","85","86","6","9600"
"classical-mechanics","rotational-dynamics","7.53313182980702","374","92","27","9600"
"black-holes","general-relativity","7.4112197632527","201","464","72","9600"
"books","mathematical-physics","7.39870816206694","104","262","21","9600"
"time","universe","7.36008177868643","86","91","6","9600"
"mass","photons","7.27762803234501","106","112","9","9600"
"quantum-gravity","string-theory","7.26739926739927","130","315","31","9600"
"forces","friction","7.20112517580872","270","79","16","9600"
"light","optics","7.10442626557593","173","289","37","9600"
"energy","momentum","6.81704260651629","285","84","17","9600"
"quantum-field-theory","supersymmetry","6.73369184007482","611","112","48","9600"
"acceleration","mass","6.62678324896457","82","106","6","9600"
"homework","kinematics","6.56096227446692","590","124","50","9600"
"theory","universe","6.51200651200651","81","91","5","9600"
"pressure","sound","6.3626723223754","92","82","5","9600"
"books","mathematics","6.33484162895928","104","102","7","9600"
"astronomy","astrophysics","6.32911392405063","288","237","45","9600"
"pressure","temperature","6.32411067193676","92","99","6","9600"
"classical-mechanics","mechanics","6.24734742381801","374","189","46","9600"
"black-holes","quantum-gravity","6.24569460390356","201","130","17","9600"
"electromagnetic-radiation","waves","6.13372420791521","181","147","17","9600"
"fluid-dynamics","water","6.10973403898975","253","118","19","9600"
"general-relativity","spacetime","6.01237842617153","464","117","34","9600"
"education","reference-request","5.86387434554974","120","191","14","9600"
"space","spacetime","5.79185520361991","85","117","6","9600"
"fluid-dynamics","pressure","5.77418800481182","253","92","14","9600"
"photons","speed-of-light","5.76230492196879","112","119","8","9600"
"acceleration","forces","5.63685636856369","82","270","13","9600"
"quantum-electrodynamics","quantum-field-theory","5.54539328006162","85","611","30","9600"
"forces","momentum","5.5026455026455","270","84","13","9600"
"education","mathematics","5.49019607843137","120","102","7","9600"
"light","photons","5.45004128819158","173","112","11","9600"
"astrophysics","cosmology","5.44114868694502","237","268","36","9600"
"mass","momentum","5.39083557951482","106","84","5","9600"
"electromagnetic-radiation","photons","5.20915548539858","181","112","11","9600"
"energy","heat","5.14619883040936","285","144","22","9600"
"mass","standard-model","5.14579759862779","106","88","5","9600"
"fluid-dynamics","sound","5.09013785790032","253","82","11","9600"
"homework","newtonian-mechanics","5.04642593957259","590","345","107","9600"
"statistical-mechanics","thermodynamics","4.80806057213564","182","373","34","9600"
"experimental-physics","particle-physics","4.79246897732135","190","369","35","9600"
"electricity","electrostatics","4.78632478632479","208","135","14","9600"
"pressure","thermodynamics","4.75579904417764","92","373","17","9600"
"angular-momentum","classical-mechanics","4.71461311797446","98","374","18","9600"
"special-relativity","time","4.69631971099571","309","86","13","9600"
"forces","mass","4.69601677148847","270","106","14","9600"
"energy-conservation","photons","4.67532467532468","110","112","6","9600"
"angular-momentum","mechanics","4.66472303206997","98","189","9","9600"
"light","speed-of-light","4.66313693107301","173","119","10","9600"
"mass","speed-of-light","4.56635484382432","106","119","6","9600"
"spacetime","universe","4.50831220061989","117","91","5","9600"
"energy","mass","4.44885799404171","285","106","14","9600"
"acceleration","friction","4.44581661006483","82","79","3","9600"
"water","waves","4.42753372535455","118","147","8","9600"
"quantum-gravity","spacetime","4.4181459566075","130","117","7","9600"
"acceleration","mechanics","4.3360433604336","82","189","7","9600"
"entropy","temperature","4.30976430976431","90","99","4","9600"
"quantum-information","quantum-mechanics","4.25618989154901","108","1086","52","9600"
"condensed-matter","statistical-mechanics","4.2044911610129","138","182","11","9600"
"reference-request","soft-question","4.20371251784864","191","275","23","9600"
"electromagnetism","electrostatics","4.18300653594771","595","135","35","9600"
"energy-conservation","momentum","4.15584415584416","110","84","4","9600"
"general-relativity","quantum-gravity","4.13793103448276","464","130","26","9600"
"spacetime","speed-of-light","4.13703943115708","117","119","6","9600"
"mass","special-relativity","4.10331562557245","106","309","14","9600"
"momentum","space","4.03361344537815","84","85","3","9600"
"astrophysics","universe","4.00612046181666","237","91","9","9600"
"electromagnetic-radiation","light","3.98556510075687","181","173","13","9600"
"thermodynamics","water","3.92602353796519","373","118","18","9600"
"astronomy","space","3.92156862745098","288","85","10","9600"
"homework","rotational-dynamics","3.89093588798821","590","92","22","9600"
"education","momentum","3.80952380952381","120","84","4","9600"
"light","waves","3.77492037277339","173","147","10","9600"
"acceleration","homework","3.77015295576685","82","590","19","9600"
"statistical-mechanics","temperature","3.72960372960373","182","99","7","9600"
"space","universe","3.72333548804137","85","91","3","9600"
"quantum-information","reference-request","3.72309482257126","108","191","8","9600"
"angular-momentum","friction","3.71996900025833","98","79","3","9600"
"homework","momentum","3.68038740920097","590","84","19","9600"
"general-relativity","gravity","3.67154552220293","464","417","74","9600"
"electromagnetic-radiation","optics","3.6704964728823","181","289","20","9600"
"acceleration","gravity","3.6497631163362","82","417","13","9600"
"astrophysics","planets","3.64101834731902","237","89","8","9600"
"cosmology","general-relativity","3.55120946989192","268","464","46","9600"
"planets","rotational-dynamics","3.51734245236932","89","92","3","9600"
"angular-momentum","momentum","3.49854227405248","98","84","3","9600"
"particle-physics","supersymmetry","3.48432055749129","369","112","15","9600"
"quantum-electrodynamics","quantum-gravity","3.47511312217195","85","130","4","9600"
"gravity","mass","3.47495588434912","417","106","16","9600"
"spacetime","special-relativity","3.45199568500539","117","309","13","9600"
"space","temperature","3.42245989304813","85","99","3","9600"
"experimental-physics","speed-of-light","3.39672711189739","190","119","8","9600"
"acceleration","newtonian-mechanics","3.39342523860021","82","345","10","9600"
"electrostatics","homework","3.37476459510358","135","590","28","9600"
"forces","homework","3.37476459510358","270","590","56","9600"
"kinematics","newtonian-mechanics","3.36605890603086","124","345","15","9600"
"energy","thermodynamics","3.34132919429942","285","373","37","9600"
"classical-mechanics","forces","3.32739156268568","374","270","35","9600"
"energy-conservation","friction","3.31415420023015","110","79","3","9600"
"mechanics","rotational-dynamics","3.31262939958592","189","92","6","9600"
"energy-conservation","newtonian-mechanics","3.28853754940711","110","345","13","9600"
"temperature","water","3.28710837185413","99","118","4","9600"
"solid-state-physics","statistical-mechanics","3.25600325600326","81","182","5","9600"
"quantum-field-theory","standard-model","3.21380746912662","611","88","18","9600"
"classical-mechanics","newtonian-mechanics","3.19925598697977","374","345","43","9600"
"mass","particle-physics","3.19067341616812","106","369","13","9600"
"heat","space","3.13725490196078","144","85","4","9600"
"electromagnetic-radiation","quantum-electrodynamics","3.11992200194995","181","85","5","9600"
"forces","pressure","3.09178743961353","270","92","8","9600"
"forces","rotational-dynamics","3.09178743961353","270","92","8","9600"
"mathematics","soft-question","3.08021390374332","102","275","9","9600"
"electromagnetism","waves","3.07322929171669","595","147","28","9600"
"energy","temperature","3.0622009569378","285","99","9","9600"
"classical-mechanics","momentum","3.05576776165011","374","84","10","9600"
"cosmology","quantum-gravity","3.03099885189437","268","130","11","9600"
"electromagnetic-radiation","electromagnetism","3.03078137332281","181","595","34","9600"
"soft-question","theory","3.01683501683502","275","81","7","9600"
"energy","photons","3.00751879699248","285","112","10","9600"
"entropy","quantum-information","2.96296296296296","90","108","3","9600"
"entropy","heat","2.96296296296296","90","144","4","9600"
"quantum-electrodynamics","reference-request","2.95657530027718","85","191","5","9600"
"gravity","spacetime","2.95148496587346","417","117","15","9600"
"astronomy","universe","2.93040293040293","288","91","8","9600"
"standard-model","supersymmetry","2.92207792207792","88","112","3","9600"
"heat","pressure","2.89855072463768","144","92","4","9600"
"friction","momentum","2.89330922242315","79","84","2","9600"
"friction","homework","2.88350139455053","79","590","14","9600"
"fluid-dynamics","friction","2.88187321759143","253","79","6","9600"
"quantum-field-theory","reference-request","2.87915270648923","611","191","35","9600"
"electricity","electromagnetism","2.87007110536522","208","595","37","9600"
"astrophysics","space","2.85927029039464","237","85","6","9600"
"space","speed-of-light","2.84725654967869","85","119","3","9600"
"angular-momentum","newtonian-mechanics","2.8393966282165","98","345","10","9600"
"astrophysics","black-holes","2.82133635619372","237","201","14","9600"
"general-relativity","special-relativity","2.81218613993974","464","309","42","9600"
"mechanics","newtonian-mechanics","2.79733149298367","189","345","19","9600"
"acceleration","momentum","2.78745644599303","82","84","2","9600"
"photons","special-relativity","2.77392510402219","112","309","10","9600"
"angular-momentum","mass","2.77242972660762","98","106","3","9600"
"astrophysics","spacetime","2.7696635291572","237","117","8","9600"
"kinematics","momentum","2.76497695852535","124","84","3","9600"
"theory","time","2.75624461670973","81","86","2","9600"
"forces","gravity","2.72848387956302","270","417","32","9600"
"acceleration","time","2.72263187748157","82","86","2","9600"
"optics","waves","2.7116729044559","289","147","12","9600"
"books","condensed-matter","2.67558528428094","104","138","4","9600"
"electromagnetic-radiation","speed-of-light","2.67421885881424","181","119","6","9600"
"optics","photons","2.66930301532378","289","112","9","9600"
"speed-of-light","universe","2.65952534860098","119","91","3","9600"
"black-holes","entropy","2.65339966832504","201","90","5","9600"
"acceleration","special-relativity","2.65214302628463","82","309","7","9600"
"black-holes","gravity","2.6343104620781","201","417","23","9600"
"entropy","theory","2.63374485596708","90","81","2","9600"
"energy","entropy","2.61988304093567","285","90","7","9600"
"electromagnetic-radiation","sound","2.58725239186094","181","82","4","9600"
"friction","mechanics","2.57183041993169","79","189","4","9600"
"mathematics","waves","2.56102440976391","102","147","4","9600"
"acceleration","rotational-dynamics","2.54506892895016","82","92","2","9600"
"planets","space","2.5380039656312","89","85","2","9600"
"planets","time","2.50849229161223","89","86","2","9600"
"gravity","rotational-dynamics","2.50234594932749","417","92","10","9600"
"mathematical-physics","reference-request","2.49390511969945","262","191","13","9600"
"pressure","space","2.45524296675192","92","85","2","9600"
"cosmology","spacetime","2.44929200153081","268","117","8","9600"
"forces","mechanics","2.445620223398","270","189","13","9600"
"gravity","space","2.43757934828608","417","85","9","9600"
"electromagnetic-radiation","energy-conservation","2.4108488196886","181","110","5","9600"
"quantum-field-theory","string-theory","2.39420154313771","611","315","48","9600"
"cosmology","entropy","2.38805970149254","268","90","6","9600"
"planets","universe","2.37066304482035","89","91","2","9600"
"entropy","universe","2.34432234432234","90","91","2","9600"
"classical-mechanics","energy-conservation","2.33349538162372","374","110","10","9600"
"photons","waves","2.33236151603499","112","147","4","9600"
"experimental-physics","nuclear-physics","2.33198380566802","190","130","6","9600"
"gravity","planets","2.32802522027322","417","89","9","9600"
"mathematics","theory","2.32389251997095","102","81","2","9600"
"experimental-physics","standard-model","2.29665071770335","190","88","4","9600"
"classical-mechanics","friction","2.27441954917755","374","79","7","9600"
"experimental-physics","optics","2.2728100528137","190","289","13","9600"
"electricity","energy","2.26720647773279","208","285","14","9600"
"mathematical-physics","theory","2.26180378852135","262","81","5","9600"
