Tag1,Tag2,OERatio,Count1,Count2,Count12,CountAll
"awk","sed","376.026267220647","4058","4384","1381","4844033"
"amazon-ec2","amazon-web-services","320.560559910485","3966","4496","1180","4844033"
"cocos2d","cocos2d-iphone","293.673303459758","4015","4630","1127","4844033"
"amazon-s3","amazon-web-services","247.329848055015","4134","4496","949","4844033"
"jsf-2","primefaces","246.369196572725","8177","5011","2084","4844033"
"fluent-nhibernate","nhibernate","243.13933077977","4094","13655","2806","4844033"
"lucene","solr","238.127353375197","4087","5699","1145","4844033"
"batch","batch-file","236.548132419161","5413","5198","1374","4844033"
"drupal","drupal-7","222.289181139357","11820","3973","2155","4844033"
"uitableview","uitableviewcell","193.458856529548","14908","6463","3848","4844033"
"jsf","primefaces","174.419148450117","14288","5011","2578","4844033"
"https","ssl","168.302708358358","5332","8275","1533","4844033"
"excel-vba","vba","167.376610839133","7454","13725","3535","4844033"
"grails","groovy","166.056513765725","10960","5938","2231","4844033"
"sharepoint","sharepoint2010","150.972237634209","13083","6320","2577","4844033"
".htaccess","mod-rewrite","148.878512409705","18460","10667","6052","4844033"
"blackberry","java-me","144.351880002679","8021","5376","1285","4844033"
"google-chrome","google-chrome-extension","140.947722392792","14308","5085","2117","4844033"
"asp-classic","vbscript","140.226416675427","5913","5439","931","4844033"
"google-maps","google-maps-api-3","139.76472173127","16062","7863","3644","4844033"
"character-encoding","utf-8","138.79455018527","5389","6010","928","4844033"
"oracle","plsql","136.769229864608","27002","5004","3815","4844033"
"internationalization","localization","133.787337964119","4706","5201","676","4844033"
"encoding","utf-8","123.379399611172","7101","6010","1087","4844033"
"jsf","jsf-2","119.739886656658","14288","8177","2888","4844033"
"git","github","114.547006577432","26012","5534","3404","4844033"
"uinavigationcontroller","uiviewcontroller","113.382600345189","4460","5690","594","4844033"
"android-layout","android-widget","113.345731440807","14761","4450","1537","4844033"
"mod-rewrite","url-rewriting","111.63242869668","10667","5329","1310","4844033"
"excel","excel-vba","111.081941854615","23635","7454","4040","4844033"
"uiview","uiviewcontroller","108.048422902599","6973","5690","885","4844033"
"unicode","utf-8","103.799895829633","7167","6010","923","4844033"
"f#","functional-programming","98.617476251494","4585","3771","352","4844033"
"mercurial","version-control","97.6266216668312","5072","7699","787","4844033"
"safari","webkit","96.4557568337671","4606","4056","372","4844033"
"actionscript","flash","94.2177040366457","6740","23914","3135","4844033"
"silverlight","silverlight-4.0","93.4643597316999","24386","5292","2490","4844033"
"excel","vba","92.2095909134172","23635","13725","6175","4844033"
"django","django-models","91.6323977661576","49650","6152","5778","4844033"
"oauth","twitter","90.5053587108026","5553","7730","802","4844033"
"spring","spring-mvc","89.6325849857314","26823","9796","4862","4844033"
"amazon-ec2","amazon-s3","89.5213328166044","3966","4134","303","4844033"
"air","flex","89.188748077674","5246","20468","1977","4844033"
"uiimageview","uiscrollview","89.1624855182868","3999","4850","357","4844033"
"android-emulator","android-widget","87.8830669765833","5066","4450","409","4844033"
"stl","vector","87.6961800502576","5791","6095","639","4844033"
"get","post","87.6393501561877","4066","10508","773","4844033"
"functional-programming","haskell","87.18494387849","3771","10785","732","4844033"
"mono","monotouch","87.0413109581024","4323","4274","332","4844033"
"character-encoding","encoding","86.8367403293189","5389","7101","686","4844033"
"mfc","visual-c++","84.5785770241681","5239","13337","1220","4844033"
"sockets","tcp","84.0959433491792","16615","5904","1703","4844033"
"memory-leaks","memory-management","82.8607594129352","6019","9664","995","4844033"
"spring-mvc","spring-security","82.7186274916234","9796","3802","636","4844033"
"macros","vba","82.5651515154749","5121","13725","1198","4844033"
"hibernate","jpa","82.2983695007794","23444","9912","3948","4844033"
".htaccess","url-rewriting","81.4943826752248","18460","5329","1655","4844033"
"ios4","iphone-sdk-4.0","80.694455476019","4159","7390","512","4844033"
"exception","exception-handling","80.6198647136849","12871","5952","1275","4844033"
"apache","mod-rewrite","79.7181838804421","24512","10667","4303","4844033"
"image-processing","opencv","79.1007770714554","9366","9873","1510","4844033"
"actionscript-3","flash","79.0401899938775","25871","23914","10095","4844033"
"asp.net-mvc-3","razor","76.8537185441811","33133","8315","4371","4844033"
"networking","network-programming","76.4225356236723","11577","3953","722","4844033"
"jsp","servlets","76.4192954778636","16936","11131","2974","4844033"
"svn","version-control","75.7705262394479","15420","7699","1857","4844033"
"excel-vba","macros","75.5057271921302","7454","5121","595","4844033"
"spring","spring-security","74.763970767666","26823","3802","1574","4844033"
"ant","build","74.7542991954893","7196","5493","610","4844033"
"sqlite","sqlite3","74.7146730986975","20166","4800","1493","4844033"
"xpath","xslt","74.3521589361769","8173","11965","1501","4844033"
"facebook","facebook-graph-api","74.0618166762032","41604","13564","8628","4844033"
"actionscript","flex","73.4570474922424","6740","20468","2092","4844033"
"activity","android-intent","73.417694263199","5821","8501","750","4844033"
"controller","model","73.2583167412872","4181","5472","346","4844033"
"maven","maven-2","72.9791679575345","12645","4656","887","4844033"
"eclipse","eclipse-plugin","72.5918649283779","42448","4823","3068","4844033"
"for-loop","loops","71.5459765584603","6401","11360","1074","4844033"
"bash","shell","71.2190695801242","20983","15692","4841","4844033"
"bash","sed","71.1417126407683","20983","4384","1351","4844033"
"iis","iis7","70.463610517865","11814","6814","1171","4844033"
"grails","spring-security","70.4461155193003","10960","3802","606","4844033"
"entity-framework","entity-framework-4","70.1218477458223","23830","6450","2225","4844033"
".htaccess","redirect","70.1074125929956","18460","10585","2828","4844033"
"networking","tcp","69.8781865700448","11577","5904","986","4844033"
"datatable","primefaces","69.5708205184899","4363","5011","314","4844033"
"controller","view","69.5246675230744","4181","7149","429","4844033"
"actionscript","actionscript-3","68.8391156786003","6740","25871","2478","4844033"
"date","time","68.7133377236878","12775","6484","1175","4844033"
"awk","bash","67.7546695138478","4058","20983","1191","4844033"
"actionscript-3","air","67.3142915317564","25871","5246","1886","4844033"
"canvas","html5","66.8290679531496","7883","31787","3457","4844033"
"network-programming","tcp","65.7950455881678","3953","5904","317","4844033"
"jquery-mobile","phonegap","65.2063109792444","11318","12110","1845","4844033"
"iis7","url-rewriting","65.0997117576581","6814","5329","488","4844033"
"msbuild","tfs","63.620285287846","4689","5391","332","4844033"
"gcc","linker","62.9610711838255","9970","4306","558","4844033"
"ms-access","vba","62.6690868486197","12249","13725","2175","4844033"
"3d","graphics","62.2910973334891","4902","7805","492","4844033"
"data-structures","tree","62.1168796288051","7853","4131","416","4844033"
"shell","unix","61.9080465633279","15692","13139","2635","4844033"
"google","seo","61.6480775148533","13140","3863","646","4844033"
"c++11","lambda","60.4407171089485","5993","4480","335","4844033"
"network-programming","sockets","59.149939048338","3953","16615","802","4844033"
"event-handling","events","58.285037037037","4410","14775","784","4844033"
"map","stl","57.7537631390747","6141","5791","424","4844033"
"matlab","matrix","57.686388731522","17671","5460","1149","4844033"
"import","module","57.5962709641151","5122","4926","300","4844033"
"awk","shell","57.4332909964576","4058","15692","755","4844033"
"character-encoding","unicode","57.3162416617285","5389","7167","457","4844033"
"awk","unix","56.9639738781203","4058","13139","627","4844033"
"pointers","struct","56.8132987414952","11076","4842","629","4844033"
"3d","opengl","56.2375917578025","4902","11439","651","4844033"
"actionscript-3","flex","56.1402822989247","25871","20468","6137","4844033"
"jpa","orm","55.9837942062575","9912","6774","776","4844033"
"uiscrollview","uiview","55.8612045577862","4850","6973","390","4844033"
"android-intent","android-widget","55.8294764528694","8501","4450","436","4844033"
"ios4","ios5","55.5831600204658","4159","11944","570","4844033"
"datagridview","winforms","54.3464179262633","5706","35678","2284","4844033"
"junit","unit-testing","54.2161004992717","5173","17669","1023","4844033"
"git","version-control","53.9149363247117","26012","7699","2229","4844033"
"clojure","functional-programming","53.8790323559579","4959","3771","208","4844033"
"script","shell","53.3493986096193","7337","15692","1268","4844033"
"menu","navigation","53.2086579942707","5539","3846","234","4844033"
"binary","tree","53.1037737376333","3798","4131","172","4844033"
"iis7","web-config","52.2083386611016","6814","3799","279","4844033"
"foreach","loops","52.1812495182346","4568","11360","559","4844033"
"linq","linq-to-sql","51.9925027131345","28252","10533","3194","4844033"
"excel","macros","51.7882203251651","23635","5121","1294","4844033"
"scripting","shell","51.5110905707207","5807","15692","969","4844033"
"video","youtube","51.4635472076904","9522","4300","435","4844033"
".htaccess","apache","51.3744751879549","18460","24512","4799","4844033"
"tfs","version-control","51.3518528436928","5391","7699","440","4844033"
"sed","unix","51.214333786054","4384","13139","609","4844033"
"soap","web-services","50.8356342340503","8874","27736","2583","4844033"
"playframework","scala","50.2129836948546","4104","14997","638","4844033"
"asp.net-mvc-4","razor","49.9005986299669","7927","8315","679","4844033"
"lucene","search","49.9002967023042","4087","12161","512","4844033"
"google-chrome","safari","49.7614350943835","14308","4606","677","4844033"
"3d","xna","49.6456866527301","4902","4379","220","4844033"
"ios5","ios6","49.5098511649363","11944","6586","804","4844033"
"mvvm","wpf","49.4986126747444","7964","62497","5086","4844033"
"charts","graph","49.3885022701232","4808","6487","318","4844033"
"windows-8","xaml","49.1891282577222","6558","15542","1035","4844033"
"drop-down-menu","menu","49.0547587126178","7345","5539","412","4844033"
"hibernate","orm","47.9188484798431","23444","6774","1571","4844033"
"mercurial","merge","47.8672060931696","5072","4170","209","4844033"
"sed","shell","47.6701937275445","4384","15692","677","4844033"
"cookies","session","47.4760710490645","8882","13670","1190","4844033"
"ant","junit","47.1066294106086","7196","5173","362","4844033"
"bash","script","47.1023737025614","20983","7337","1497","4844033"
"wpf","xaml","47.0774588120907","62497","15542","9440","4844033"
"recursion","tree","46.9453368997591","6844","4131","274","4844033"
"sql-server-2005","tsql","46.7047454706157","15295","19604","2891","4844033"
"rspec","testing","46.1728224100017","5106","11465","558","4844033"
"file-upload","upload","46.1271648823614","8946","5212","444","4844033"
"binding","mvvm","46.1213831578784","7372","7964","559","4844033"
"android-emulator","android-layout","45.7978975471075","5066","14761","707","4844033"
"cuda","parallel-processing","45.7826599016235","4499","4045","172","4844033"
"delegates","lambda","45.4943692286431","4587","4480","193","4844033"
"google-chrome","webkit","45.0737794307153","14308","4056","540","4844033"
"firefox","google-chrome","44.9123319462869","13252","14308","1758","4844033"
"ruby-on-rails-3","ruby-on-rails-3.1","44.6238073924547","42069","5042","1954","4844033"
"devise","ruby-on-rails-3","44.6212907292863","4392","42069","1702","4844033"
"controller","mvc","44.4334840032138","4181","12594","483","4844033"
"content-management-system","joomla","44.3893735929638","4003","6788","249","4844033"
"memory","memory-management","44.2844436395273","10617","9664","938","4844033"
"lambda","linq","43.7830393170648","4480","28252","1144","4844033"
"functional-programming","scala","43.5977374384096","3771","14997","509","4844033"
"design","design-patterns","43.5859978334784","11816","12613","1341","4844033"
"architecture","design","43.4247764381718","7071","11816","749","4844033"
"jsp","struts2","43.357805972041","16936","5251","796","4844033"
"ios4","xcode4","43.2462984089716","4159","5548","206","4844033"
"uiimageview","uiview","43.0811913504692","3999","6973","248","4844033"
"csv","import","42.9772876368271","8208","5122","373","4844033"
"bash","scripting","42.934997499062","20983","5807","1080","4844033"
"servlets","tomcat","42.9054638675644","11131","11999","1183","4844033"
"pointers","reference","42.884891669331","11076","5405","530","4844033"
"browser","cross-browser","42.7867712872453","8491","3920","294","4844033"
"android-layout","android-listview","42.6959956807905","14761","4358","567","4844033"
"arrays","multidimensional-array","42.5570057517398","49704","5661","2472","4844033"
"css3","webkit","42.2046196584254","13979","4056","494","4844033"
"java-ee","jboss","42.1838978588105","13152","5195","595","4844033"
"localization","resources","42.1385937486938","5201","4531","205","4844033"
"amazon-ec2","ssh","42.0321395070009","3966","4969","171","4844033"
"ruby","rubygems","42.0064748340401","70255","3854","2348","4844033"
"encoding","unicode","41.8796315798047","7101","7167","440","4844033"
"algorithm","data-structures","41.8768367151456","28841","7853","1958","4844033"
"junit","testing","41.736060741434","5173","11465","511","4844033"
"combobox","data-binding","41.6711780186381","4939","9485","403","4844033"
"background","colors","41.4529358617969","5072","5253","228","4844033"
"sql-server","tsql","41.2809491826583","64741","19604","10816","4844033"
"sql-server-2008","tsql","41.1614955431105","25669","19604","4276","4844033"
"actionscript","air","41.0998432039785","6740","5246","300","4844033"
"visual-studio-2012","windows-8","41.0005654201638","5819","6558","323","4844033"
"android-emulator","android-intent","40.9423979427329","5066","8501","364","4844033"
"rubygems","ruby-on-rails-3.1","40.8824006009098","3854","5042","164","4844033"
"cocoa","osx","40.8667534954603","24609","30128","6255","4844033"
"date","datetime","40.7915104032435","12775","11982","1289","4844033"
"binding","wpf","40.678162377079","7372","62497","3869","4844033"
"activity","service","40.4938462914955","5821","7542","367","4844033"
"data-binding","xaml","40.4502216959409","9485","15542","1231","4844033"
"graphics","opengl","40.3663109430582","7805","11439","744","4844033"
"iis","web-config","40.2577654130378","11814","3799","373","4844033"
"haskell","types","40.0671583068728","10785","6625","591","4844033"
"data-binding","mvvm","39.9508986935675","9485","7964","623","4844033"
"casting","types","39.889816295968","5279","6625","288","4844033"
"datagridview","datatable","39.8881573043691","5706","4363","205","4844033"
"calendar","date","39.6382155112187","4056","12775","424","4844033"
"c++11","templates","39.4608243352846","5993","14584","712","4844033"
"xml","xslt","39.4607892192589","61188","11965","5964","4844033"
"binding","xaml","39.4454128305686","7372","15542","933","4844033"
"merge","svn","39.2486196723555","4170","15420","521","4844033"
"datetime","time","39.217997737404","11982","6484","629","4844033"
"http","https","39.0946814299187","16499","5332","710","4844033"
"internet-explorer","internet-explorer-8","39.0634208323101","18610","5304","796","4844033"
"batch-file","command-line","38.8750906042872","5198","6784","283","4844033"
"mod-rewrite","redirect","38.7401846130901","10667","10585","903","4844033"
"compilation","linker","38.5942050069316","4722","4306","162","4844033"
"air","flash","38.5737685388782","5246","23914","999","4844033"
"com","vb6","38.5561151619696","6060","5183","250","4844033"
"css3","html5","38.16572854869","13979","31787","3501","4844033"
"silverlight","windows-phone-7","37.8151101655516","24386","16615","3163","4844033"
"testing","unit-testing","37.614023012751","11465","17669","1573","4844033"
"git","merge","37.6018648651738","26012","4170","842","4844033"
"batch","script","37.5665457498482","5413","7337","308","4844033"
"jpa","playframework","37.3910874270579","9912","4104","314","4844033"
"3d","opengl-es","37.2977049519829","4902","6915","261","4844033"
"file","upload","37.2505025399994","20459","5212","820","4844033"
"datagrid","wpf","37.2437266589191","6081","62497","2922","4844033"
"ide","netbeans","37.0960964103926","4636","8450","300","4844033"
"ado.net","datatable","37.0658934248046","5152","4363","172","4844033"
"geolocation","google-maps","36.8096266133414","3777","16062","461","4844033"
"error-handling","exception-handling","36.5602514212099","5298","5952","238","4844033"
"configuration","web-config","36.3496595381531","6279","3799","179","4844033"
"xml","xml-parsing","36.1336964147958","61188","4831","2205","4844033"
"devise","ruby-on-rails-3.1","36.0932396015546","4392","5042","165","4844033"
"seo","url-rewriting","36.0021216921638","3863","5329","153","4844033"
"cross-browser","internet-explorer","35.92294373499","3920","18610","541","4844033"
"event-handling","javascript-events","35.8526896735483","4410","8272","270","4844033"
"compiler","gcc","35.7620856932272","6562","9970","483","4844033"
"ant","jar","35.677810526936","7196","5132","272","4844033"
"compiler","linker","35.6582624020154","6562","4306","208","4844033"
"asp.net-mvc","razor","35.6344067039424","56778","8315","3473","4844033"
"authentication","login","35.4652695809697","12158","6572","585","4844033"
"merge","version-control","35.4572117341845","4170","7699","235","4844033"
"plsql","triggers","35.2772688581686","5004","4857","177","4844033"
"design-patterns","oop","35.1650820054691","12613","18195","1666","4844033"
"ftp","upload","35.0341415193072","4669","5212","176","4844033"
"webkit","webview","35.0324543063774","4056","4875","143","4844033"
"class","methods","34.9589623004113","17872","6877","887","4844033"
"architecture","design-patterns","34.5977050927302","7071","12613","637","4844033"
"concurrency","multithreading","34.4790310913988","6049","35814","1542","4844033"
"asynchronous","callback","34.2781602965306","7367","4316","225","4844033"
"clojure","macros","34.1437517382824","4959","5121","179","4844033"
"uiimageview","uitableviewcell","34.1108798010272","3999","6463","182","4844033"
"generics","interface","34.0888475103823","12226","5916","509","4844033"
"inheritance","interface","33.9738959955299","10508","5916","436","4844033"
"data-binding","wpf","33.9450989811981","9485","62497","4154","4844033"
"compilation","compiler-errors","33.4318512928767","4722","3989","130","4844033"
"github","version-control","33.4257337171955","5534","7699","294","4844033"
"search","solr","33.2694867000457","12161","5699","476","4844033"
"plsql","stored-procedures","33.2684988639432","5004","9544","328","4844033"
"devise","ruby-on-rails","33.2345072521486","4392","111306","3354","4844033"
"replace","sed","33.2311138247078","4389","4384","132","4844033"
"selenium","testing","33.0789823350322","7191","11465","563","4844033"
"concurrency","parallel-processing","33.0614162747124","6049","4045","167","4844033"
"file","io","33.0397800701375","20459","4572","638","4844033"
"xml","xpath","33.030391034546","61188","8173","3410","4844033"
"gui","swing","32.9920935403829","11701","25623","2042","4844033"
"index","lucene","32.8708659167078","3786","4087","105","4844033"
"database","database-design","32.8544816643371","53161","10736","3871","4844033"
"jquery-plugins","jquery-ui","32.795835670643","9024","20918","1278","4844033"
"matrix","vector","32.7509014775217","5460","6095","225","4844033"
"mfc","winapi","32.6682415649717","5239","15878","561","4844033"
"mvvm","silverlight-4.0","32.6418185500664","7964","5292","284","4844033"
"input","keyboard","32.4267433203384","6557","3873","170","4844033"
"networking","sockets","32.4107634470174","11577","16615","1287","4844033"
"build","msbuild","32.347871427669","5493","4689","172","4844033"
"arraylist","collections","32.3013748805365","4777","7032","224","4844033"
