Tag1,Tag2,OERatio,Count1,Count2,Count12,CountAll
"factor-analysis","pca","15.8359159779614","99","176","25","11037"
"generalized-linear-model","poisson","11.727626918536","140","121","18","11037"
"mean","standard-deviation","11.593487394958","120","119","15","11037"
"anova","repeated-measures","11.1594523692409","342","214","74","11037"
"cross-validation","svm","11.1304961678096","148","134","20","11037"
"standard-deviation","variance","9.80987394957983","119","208","22","11037"
"classification","text-mining","9.80905200789993","310","98","27","11037"
"cross-validation","model-selection","9.70487782302851","148","146","19","11037"
"machine-learning","svm","9.42428531324568","638","134","73","11037"
"maximum-likelihood","optimization","9.42045066575623","116","101","10","11037"
"bootstrap","confidence-interval","9.08395061728395","108","270","24","11037"
"forecasting","time-series","8.9146523872203","137","732","81","11037"
"mean","variance","8.84375","120","208","20","11037"
"predictive-models","svm","8.13488114980652","162","134","16","11037"
"cross-validation","predictive-models","7.8257007007007","148","162","17","11037"
"mixed-model","repeated-measures","7.7456608811749","273","214","41","11037"
"bootstrap","nonparametric","7.14646464646465","108","143","10","11037"
"algorithms","optimization","6.95400540054005","110","101","7","11037"
"data-mining","text-mining","6.82560296846011","165","98","10","11037"
"sample-size","sampling","6.66671313074993","102","211","13","11037"
"generalized-linear-model","logistic","6.61558441558442","140","143","12","11037"
"sampling","survey","6.60198776054847","211","103","13","11037"
"estimation","maximum-likelihood","6.58706896551724","260","116","18","11037"
"machine-learning","text-mining","6.53139594395752","638","98","37","11037"
"classification","machine-learning","6.25009606633633","310","638","112","11037"
"machine-learning","neural-networks","5.82190438871473","638","104","35","11037"
"data-mining","dataset","5.72328633932912","165","187","16","11037"
"model-selection","predictive-models","5.59969558599696","146","162","12","11037"
"mixed-model","sas","5.5978021978022","273","130","18","11037"
"modeling","model-selection","5.47796307325789","207","146","15","11037"
"factor-analysis","survey","5.41188584877905","99","103","5","11037"
"classification","svm","5.31391429947039","310","134","20","11037"
"factor-analysis","spss","5.20957235910507","99","214","10","11037"
"experiment-design","sample-size","5.19388235294118","125","102","6","11037"
"anova","experiment-design","5.16350877192982","342","125","20","11037"
"bayesian","multilevel-analysis","4.96149005034764","344","97","15","11037"
"binomial","confidence-interval","4.95488215488215","132","270","16","11037"
"categorical-data","data-transformation","4.92381282839298","154","131","9","11037"
"bootstrap","cross-validation","4.83352102102102","108","148","7","11037"
"algorithms","neural-networks","4.82386363636364","110","104","5","11037"
"repeated-measures","spss","4.82007162197572","214","214","20","11037"
"binomial","generalized-linear-model","4.77792207792208","132","140","8","11037"
"mathematical-statistics","probability","4.73673309449172","116","462","23","11037"
"categorical-data","chi-squared","4.65382020576826","154","154","10","11037"
"categorical-data","logistic","4.51062573789847","154","143","9","11037"
"forecasting","predictive-models","4.47566909975669","137","162","9","11037"
"repeated-measures","t-test","4.46710574729561","214","127","11","11037"
"cross-validation","machine-learning","4.44173091586885","148","638","38","11037"
"data-mining","machine-learning","4.40347677400969","165","638","42","11037"
"categorical-data","multiple-regression","4.37672251412709","154","131","8","11037"
"hypothesis-testing","statistical-significance","4.33163265306122","455","308","55","11037"
"modeling","predictive-models","4.27867239219896","207","162","13","11037"
"sample-size","t-test","4.26007410838351","102","127","5","11037"
"anova","spss","4.22249549106411","342","214","28","11037"
"neural-networks","optimization","4.2029702970297","104","101","4","11037"
"hypothesis-testing","t-test","4.20202474690664","455","127","22","11037"
"data-mining","predictive-models","4.1290684624018","165","162","10","11037"
"machine-learning","predictive-models","4.05787762684314","638","162","38","11037"
"multiple-regression","multivariate-analysis","4.01199563794984","131","189","9","11037"
"multivariate-analysis","normal-distribution","3.96657681940701","189","265","18","11037"
"stata","survival","3.96443965517241","116","120","5","11037"
"homework","mathematical-statistics","3.96443965517241","288","116","12","11037"
"neural-networks","svm","3.95988805970149","104","134","5","11037"
"anova","multiple-comparisons","3.93560119811724","342","123","15","11037"
"anova","t-test","3.81164525486946","342","127","15","11037"
"books","mathematical-statistics","3.80586206896552","150","116","6","11037"
"multiple-comparisons","multivariate-analysis","3.79816750548458","123","189","8","11037"
"mixed-model","multilevel-analysis","3.75110456553756","273","97","9","11037"
"matlab","optimization","3.69179823387744","148","101","5","11037"
"algorithms","data-mining","3.64859504132231","110","165","6","11037"
"data-transformation","generalized-linear-model","3.61079607415485","131","140","6","11037"
"confidence-interval","sample-size","3.60686274509804","270","102","9","11037"
"mean","sample-size","3.60686274509804","120","102","4","11037"
"factor-analysis","multivariate-analysis","3.53920153920154","99","189","6","11037"
"multiple-comparisons","statistical-significance","3.49604054482103","123","308","12","11037"
"multilevel-analysis","multiple-regression","3.47430550090501","97","131","4","11037"
"classification","neural-networks","3.42338709677419","310","104","10","11037"
"clustering","text-mining","3.41280148423006","330","98","10","11037"
"factor-analysis","multiple-regression","3.40411751098774","99","131","4","11037"
"homework","probability","3.40095147907648","288","462","41","11037"
"algorithms","matlab","3.38974201474201","110","148","5","11037"
"matlab","normal-distribution","3.3769505354411","148","265","12","11037"
"classification","cross-validation","3.3678727114211","310","148","14","11037"
"svm","text-mining","3.36186414864453","134","98","4","11037"
"logistic","stata","3.32680250783699","143","116","5","11037"
"multilevel-analysis","survey","3.31408267440697","97","103","3","11037"
"maximum-likelihood","model-selection","3.2584435521965","116","146","5","11037"
"generalized-linear-model","model-selection","3.23982387475538","140","146","6","11037"
"normal-distribution","variance","3.20377358490566","265","208","16","11037"
"anova","nonparametric","3.15948963317384","342","143","14","11037"
"hypothesis-testing","multiple-comparisons","3.15540069686411","455","123","16","11037"
"sample-size","survey","3.1516276413478","102","103","3","11037"
"normal-distribution","standard-deviation","3.14992865070557","265","119","9","11037"
"maximum-likelihood","poisson","3.14534055286406","116","121","4","11037"
"statistical-significance","t-test","3.10376827896513","308","127","11","11037"
"estimation","normal-distribution","3.04358490566038","260","265","19","11037"
"bootstrap","optimization","3.03547854785479","108","101","3","11037"
"repeated-measures","sample-size","3.03380978559648","214","102","6","11037"
"chi-squared","statistical-significance","3.02498313374937","154","308","13","11037"
"sampling","variance","3.01777251184834","211","208","12","11037"
"estimation","sampling","3.01777251184834","260","211","15","11037"
"dataset","text-mining","3.01129542726181","187","98","5","11037"
"logistic","multiple-regression","2.94587092297016","143","131","5","11037"
"books","experiment-design","2.9432","150","125","5","11037"
"multilevel-analysis","stata","2.94267685744757","97","116","3","11037"
"correlation","multiple-comparisons","2.94202319072371","427","123","14","11037"
"logistic-regression","sas","2.93884615384615","260","130","9","11037"
"distributions","probability","2.93829432599486","561","462","69","11037"
"multiple-comparisons","repeated-measures","2.93514930476408","123","214","7","11037"
"chi-squared","multiple-comparisons","2.91336712068419","154","123","5","11037"
"classification","clustering","2.91299120234604","310","330","27","11037"
"multiple-regression","stata","2.90523822058436","131","116","4","11037"
"mean","t-test","2.89685039370079","120","127","4","11037"
"homework","normal-distribution","2.89229559748428","288","265","20","11037"
"logistic","spss","2.88530161427358","143","214","8","11037"
"correlation","factor-analysis","2.871975019516","427","99","11","11037"
